epoch,train_loss,train_bce_loss,train_dice_loss,train_tversky_loss,train_focal_tversky_loss,train_dice,val_loss,val_bce_loss,val_dice_loss,val_tversky_loss,val_focal_tversky_loss,val_dice,val_best_dice,val_best_threshold,val_best_precision,val_best_recall,val_precision,val_recall,lr,epoch_time_sec,gpu_memory_gb,early_stop_no_improve_epochs,early_stop_triggered
1,1.7118175033819747,0.3178657048238157,0.9313440294801325,0.9020524200271157,0.9252155415415255,0.2248825485832777,1.6218529553843277,0.12775198026321516,0.9962910606150911,0.9942438647763878,0.9956198367381126,0.03216885677022842,0.1147073926222769,0.975,0.06699294672224272,0.39860911973689517,0.016448740402748067,0.7262142730056587,9.99938933078422e-05,29.052013874053955,2.5490636825561523,0,False
2,1.3429630498726552,0.1078777286301082,0.8229679382467311,0.7745118796545932,0.8242347689578905,0.6604337330557717,1.5743853071689804,0.08681031647414947,0.9919971904172212,0.9885113377218481,0.9911555909347772,0.03387047026782326,0.10446043084315287,0.975,0.05853977380836872,0.484589381586543,0.01735926997542393,0.6932999131350309,9.997557473810371e-05,25.096162796020508,1.0486783981323242,1,False
3,1.1162870404106475,0.06914117052088804,0.68972805176702,0.6419449012729721,0.7148356371879171,0.7679189962547529,1.5291412752299671,0.05464138705353049,0.9829528375834808,0.9782666839600401,0.9830940969514312,0.04602961931064602,0.10099832152558601,0.975,0.056572142728583824,0.4704189385770581,0.02388242836711498,0.6335150861840099,9.994504881061753e-05,24.937506675720215,1.0477018356323242,2,False
4,0.9732023471075556,0.05468309959174409,0.5969505969622353,0.5588570059311257,0.6431373016938936,0.8196783062843047,1.4972727666715393,0.03097393537713288,0.977397159441507,0.9714261103726345,0.9778033358504973,0.10145263349906035,0.19461532284366606,0.975,0.12005259456317524,0.5136105325948899,0.05504823982594183,0.6460999884874852,9.990232305719945e-05,24.65154790878296,1.049788475036621,0,False
5,0.8920257963741933,0.044184479685992525,0.5469675601570401,0.5126797480910432,0.6017475126776447,0.853627423772851,1.4869854039654575,0.02444946265657168,0.9748522900277071,0.9682777691640247,0.9753673119222073,0.18742402101690475,0.2827534178637955,0.975,0.2045124729800305,0.45795439084862644,0.11291557469512946,0.5510198742030167,9.984740801978984e-05,25.133147478103638,1.0496549606323242,0,False
6,0.7354489192811221,0.0517077770573226,0.44485843447112466,0.38071410717460097,0.47776541679792695,0.838994204605769,1.269321484651415,0.028978043153277303,0.8360514117812635,0.7729436907968334,0.808584066832962,0.09992844751606204,0.1452327029281331,0.975,0.08577627859295403,0.47331268118571584,0.054846812240290845,0.561255245889336,9.978031724785246e-05,25.55194616317749,1.0489225387573242,1,False
7,0.4990059329420709,0.06601643269071611,0.2737679594694196,0.22283635309437658,0.3184430824445032,0.8294977941879541,1.2296312343891003,0.0238453867060813,0.8048226164246081,0.7672078231582515,0.8019264549153149,0.11901746197541968,0.20132064932397215,0.975,0.13832895350064064,0.36965076241987543,0.06761477561650717,0.49637889713320826,9.97010672950314e-05,25.122684717178345,1.0474576950073242,2,False
8,0.44663420483431854,0.07314743597071557,0.23074579600940276,0.1934237924149579,0.28548194703670615,0.8269757770096258,0.9012131403603889,0.027755469014929667,0.5821086174975206,0.5309387554902479,0.5826981103873421,0.1153146061888064,0.1566803362171194,0.975,0.0959602379321352,0.42664650291445055,0.06464271970593252,0.5335579952064691,9.960967771506666e-05,25.109124422073364,1.0496549606323242,3,False
9,0.37192101424396395,0.060905634510534906,0.18819220901450232,0.15890326985465292,0.24564634123777387,0.8531873087491185,0.8199502624072967,0.023642658748810278,0.5344899501055664,0.473341446671686,0.5236353014155102,0.2102326516030845,0.29361283224269047,0.975,0.2326099190134103,0.39798641563123466,0.1336236869516654,0.4927159318057934,9.950617105696959e-05,24.717872858047485,1.0520963668823242,0,False
10,0.31423216928606446,0.04577841917470814,0.15997802520143814,0.13473080298073356,0.21695145049020456,0.8760273281688952,0.5963982101491144,0.02521721570539379,0.3765326705670327,0.3283196955882121,0.3892966461428652,0.3476584011821847,0.38324067107657994,0.975,0.35938974664390005,0.4104823602053299,0.2692291124008084,0.4905652478778398,9.939057285945931e-05,24.580321311950684,1.0501432418823242,0,False
11,0.30247818524905584,0.04773531202973702,0.1506844766355435,0.1274814553120557,0.20811679211063255,0.8830295442228925,0.6951228857448996,0.027603256225706137,0.4340657371181049,0.408002880583376,0.46690778113285636,0.23456072079370233,0.27563539174718815,0.975,0.19671068078393653,0.4603300855038355,0.14988108831463234,0.5391937290030773,9.92629116446613e-05,25.15242028236389,1.0490446090698242,1,False
12,0.28808164329467323,0.04528494904771652,0.1428043213621328,0.12103729854510162,0.1999847466016517,0.8876099765159001,0.6058360416671213,0.030036260170681624,0.37282520421174337,0.3533144339665269,0.40594915529124137,0.22423975763304524,0.2473946103097049,0.975,0.16878044314923413,0.4630930079222284,0.1417734868258785,0.5360435788215006,9.912321891107009e-05,25.144830465316772,1.0497770309448242,2,False
13,0.27039200754459863,0.03992666119995637,0.13501893901103396,0.11405524634339316,0.19089281520562507,0.8904364905621317,0.6001586114812069,0.03148496415751289,0.37155677933488884,0.3346440963691629,0.3942337356152583,0.2957321270527591,0.32693336426966946,0.975,0.27732360434295517,0.3981590982823842,0.2153002830291727,0.4720986698200583,9.89715291257774e-05,24.78126549720764,1.0490446090698242,3,False
14,0.27226392264523164,0.04158362550997411,0.13502484425356118,0.11458056155220626,0.1913109050963617,0.8869399602054169,1.0410246960122307,0.024717584289685686,0.6798481379844957,0.6134018600110845,0.6729179508101906,0.1700077164681568,0.221407723179112,0.975,0.1436500397115625,0.48268463961628727,0.10004212163431016,0.5654885872463054,9.880787971596799e-05,25.08688974380493,1.0481901168823242,4,False
15,0.2725736863676138,0.04368159298132787,0.13391618886668766,0.11322353268320096,0.18995180962335728,0.8870200811644016,0.5677796173867846,0.028157262452208138,0.35062163228754883,0.3178604784524931,0.3780014432251289,0.24497969979788067,0.2804922727952887,0.975,0.20162132453966253,0.4607173132670193,0.15959772419945759,0.5268181390040257,9.863231105968498e-05,25.39638352394104,1.0490446090698242,5,False
16,0.23539772761218689,0.03304299698209764,0.11675580042808968,0.09852396675845242,0.17119786058348513,0.9022252491765493,0.6125886880552398,0.027209026676469072,0.3832678086637807,0.3485097583765601,0.40422370411261394,0.2630577108346028,0.30063163187986075,0.975,0.22257579264053648,0.4630040501928483,0.17477914935935682,0.5315224330459485,9.844486647586723e-05,24.75518298149109,1.049422264099121,6,False
17,0.23888648084451375,0.03574368550067457,0.11715382883819066,0.09917016946039744,0.1719779328420085,0.9026305921629514,0.5484863687055143,0.030213934007107847,0.33700856332418383,0.3006832502816394,0.36252774259498816,0.30193611832627054,0.3310160098994806,0.975,0.2615493462404239,0.45072788353839793,0.2131769322824678,0.5173362916136318,9.824559221366101e-05,24.7298481464386,1.0496549606323242,7,False
18,0.24681839038826722,0.03734864233364783,0.12133839197984031,0.10264563443613987,0.17626271306522007,0.8965059983269723,0.6895977087151747,0.03160886777059102,0.43352758800235586,0.39139647091579083,0.44892250454052507,0.19750665797849903,0.22882185941916605,0.975,0.1524577840268135,0.4584567403792433,0.12146381381018538,0.5281682033675585,9.803453744100869e-05,24.972038745880127,1.0518522262573242,8,False
19,0.2177415607689236,0.031292566068112156,0.1067494495826609,0.08950701105675937,0.15939909047451115,0.9054844823035948,0.41884792444297536,0.03357020265625618,0.2455571396845131,0.22387308662344818,0.27944116333666313,0.3148719167187709,0.3371667333344195,0.975,0.2883967421621152,0.4057885317786283,0.23812512236260164,0.4646157549369109,9.781175423251735e-05,25.50917363166809,1.049666404724121,9,False
20,0.24097821226808777,0.03714844537898898,0.11761830998656085,0.09983423436084367,0.1724229138701811,0.9025608387783376,0.6011120328338415,0.02870252401281249,0.3714667053256334,0.33293526604505413,0.401885608809342,0.28481955329035474,0.31783632514301724,0.975,0.24414528943100375,0.4552437965063394,0.1972325518619142,0.5123389603455158,9.757729755661011e-05,25.519859552383423,1.0475797653198242,10,False
21,0.22181537402801704,0.03321617688594238,0.10796620576735348,0.09101947160074067,0.16126598234352707,0.9055106639448955,0.4229420303219274,0.03755102474329113,0.2459972773937452,0.22583593545140296,0.27878745605634764,0.3789579977399215,0.3903918476281899,0.975,0.3852046923627437,0.395720609935848,0.3253910164738045,0.4536373245698875,9.73312252619635e-05,24.769702672958374,1.0522184371948242,0,False
22,0.21175618012231684,0.030285788375500413,0.10355317127674132,0.08670541202015888,0.15583444124394163,0.9084979684237228,0.42443319934636575,0.03456754944194227,0.25147330275600166,0.223955365598177,0.2767846921975769,0.3781700592338373,0.3914767552520974,0.975,0.3829724399593642,0.4003673430940543,0.3236983668115859,0.454683886092006,9.707359806323416e-05,24.87228012084961,1.0483121871948242,0,False
23,0.2097361979455086,0.031506545529665086,0.10152666180538297,0.08509447574869548,0.15340598077788783,0.9083917934951534,0.4665590945006773,0.034411966519514704,0.2769177365857732,0.25506439937513103,0.3104587866581116,0.29458522668589693,0.3145349881296878,0.975,0.2524879050270565,0.4170129041033495,0.2129651664683015,0.4776454458872866,9.680447952607844e-05,24.36248230934143,1.0501432418823242,1,False
24,0.20017614636097011,0.028619593659611156,0.09728049089892339,0.08151196175828919,0.14855212337700277,0.9134866240987066,0.4431890324723497,0.03266894686544569,0.2639441138290497,0.24428433729594903,0.2931519478177795,0.3109159274596837,0.32817927776313316,0.975,0.25996587844647256,0.44492469989825073,0.22486507955044627,0.503652499711932,9.652393605146843e-05,24.395522594451904,1.0500211715698242,2,False
25,0.18481646168211638,0.02490533184379622,0.09009826817221857,0.07503776332301557,0.13962572275995191,0.9182006459445415,0.44273840905184864,0.033070191577576874,0.2647053210577828,0.23978464460788945,0.2899257941512744,0.3047531107042848,0.32984212599126966,0.975,0.26688169468816075,0.4316804638358407,0.22104935476562593,0.49048152295607034,9.623203685930868e-05,24.331588983535767,1.0520963668823242,3,False
26,0.22285476901377127,0.03524010037153431,0.10722414130394213,0.09069094794841272,0.16078105510291082,0.9052524270550047,0.6597189532982137,0.031258863435296505,0.409760020608272,0.3832069903079731,0.43740014675025735,0.2670603778990747,0.2982244819186812,0.975,0.2186202623657269,0.4689956149069769,0.17887516659259373,0.5267448796974774,9.592885397135704e-05,24.198646068572998,1.0492887496948242,4,False
27,0.1966130306145521,0.028429501544043504,0.09523024494487407,0.0795327929076433,0.14590656858823642,0.9141056691981174,0.4766860682206591,0.03203915823717107,0.2858827662111369,0.26119519243311673,0.317528288057043,0.33048817866803637,0.3568898286755048,0.975,0.2980440432224368,0.44468922355577406,0.2469750576517785,0.4993354334331931,9.561446219345451e-05,24.879515409469604,1.0495328903198242,5,False
28,0.20551200039392592,0.030289290623234894,0.09960079730471687,0.08345862680638029,0.15124382537560185,0.9112898577129825,0.5468420754726566,0.03307089761697664,0.3337081001911314,0.304435870832658,0.3601261562063027,0.33164078306106937,0.35803122231140067,0.975,0.3065472751062235,0.4302990026266443,0.25206573332165233,0.48463647685503836,9.528893909706794e-05,25.081197261810303,1.0480680465698242,6,False
29,0.19261728449290316,0.0280263092667968,0.09290885122434156,0.0777494826458096,0.1433642471267922,0.9169735388109035,0.7342887848033715,0.028599222665982433,0.4626632732724965,0.4305989246027669,0.4860525800017342,0.21106202568150254,0.23761133576264745,0.975,0.15938889216592944,0.46660422182893607,0.13174412332406604,0.5303869137944499,9.495236500015045e-05,24.276163816452026,1.0507535934448242,7,False
30,0.18680979941994624,0.026718821392807415,0.09008939797971763,0.07542071315536922,0.1400031601128431,0.9184363612547352,0.4250096421588969,0.03222615768431368,0.25145641782742395,0.2344509729419846,0.2826541329203557,0.3543752961762409,0.37634817916499824,0.975,0.3233657648985987,0.45009471381751626,0.2735951393257712,0.5028414145322901,9.460482294732418e-05,25.21665620803833,1.0512418746948242,8,False
31,0.19817655576346957,0.03163217129216066,0.09429772548815783,0.07889499628991016,0.14449331763983314,0.9109757528908684,0.446635659110253,0.03108308680286014,0.2683184181549364,0.24304125588317604,0.29446830999862217,0.43311461116255867,0.44852335445008445,0.975,0.45120123697996195,0.4458770708833786,0.378093858926521,0.5068759092000571,9.424639868939032e-05,25.56312608718872,1.0489225387573242,0,False
32,0.1763625364386987,0.024161676221134718,0.08534502154827524,0.07097783472582711,0.13371167705812748,0.9208111186029213,0.46015560501959296,0.031998242352980065,0.276023257779144,0.2520860441007404,0.3042682106140421,0.41892180947248153,0.4392848967516384,0.975,0.4229709109402848,0.45690782932650786,0.3567709004190363,0.5072945338089045,9.387718066217123e-05,25.16305136680603,1.048201560974121,1,False
33,0.1636599723125815,0.021522187815860724,0.07904956105521674,0.0655626219404323,0.12617644628244695,0.9262656318262641,0.38626214850820756,0.03377941530241992,0.22576683455103902,0.20568442730969,0.2534318001883582,0.41266881452321774,0.4294184866035563,0.975,0.4040591427620242,0.45817416876827133,0.3472824435665681,0.5083881905995183,9.349725996469046e-05,24.88341975212097,1.0497770309448242,2,False
34,0.15553892058545035,0.020174145001789132,0.07493865329896093,0.06193097020862251,0.12085224400081522,0.929176363266647,0.36397807798447035,0.03617059569345268,0.20783555559662303,0.19156396054706487,0.23994385700101767,0.440035085223801,0.45071086745645816,0.975,0.46184597812213796,0.44010005128128427,0.4022485350714251,0.48565687433910393,9.31067303366952e-05,24.74763011932373,1.0490446090698242,0,False
35,0.1571582079851541,0.020840533080180915,0.07555406251628483,0.06246984509301816,0.12152722486328947,0.9295118192158219,0.8059313489618666,0.03253159908397234,0.5046789325962534,0.4680280474938938,0.5374416332497672,0.19032012015601169,0.2143557971844418,0.975,0.13684003203441286,0.49444275831728896,0.11508266907390971,0.5496907410699262,9.270568813552755e-05,24.845442533493042,1.0498991012573242,1,False
36,0.20256041795752136,0.033814814050257935,0.095688247937274,0.08005633473853625,0.14611471169814785,0.9118133209311051,0.5124212261950996,0.03664668458105943,0.3083646374467898,0.2821489997458844,0.3348198083020812,0.4179048726804074,0.43163538873982854,0.975,0.4512455475383304,0.4136586744249596,0.38115218919380345,0.4625017006622314,9.229423231234973e-05,24.728697538375854,1.0478239059448242,2,False
37,0.1795288246452097,0.02600404703751528,0.0860785723037427,0.07170310925187358,0.13489241087658352,0.9190077405527552,0.4549637645616312,0.03370780973949175,0.2695742899766343,0.24884468180835123,0.30336333072512545,0.3863607709642597,0.4125460998646398,0.975,0.3695786364406899,0.46681876694097035,0.30981416773547815,0.5131448127175471,9.187246438772937e-05,24.851300954818726,1.0503873825073242,3,False
