epoch,train_loss,train_bce_loss,train_dice_loss,train_tversky_loss,train_focal_tversky_loss,train_dice,train_f1_score,val_loss,val_bce_loss,val_dice_loss,val_tversky_loss,val_focal_tversky_loss,val_dice,val_f1_score,val_best_dice,val_best_threshold,val_best_precision,val_best_recall,val_precision,val_recall,lr,epoch_time_sec,gpu_memory_gb
1,2.1327951331730084,0.6607110763170327,0.9822638166174356,0.9729838658883241,0.9796404674052176,0.027477898232615736,0.027477898232615736,2.130139518536915,0.6314190952521317,0.9992091464560509,0.9987008160062979,0.9990225374376719,0.0006545994027598611,0.0006545994027598611,0.0011548503249749038,0.45,0.0005778745471328004,0.7425249343278759,0.0003290586826566886,0.0612290818515446,9.997557473810373e-05,20.334483861923218,2.674386978149414
2,1.8828041833481621,0.4318914122669898,0.968628999052247,0.9531568616679461,0.9645675475004892,0.2744233407706424,0.2744233407706424,1.779365089111027,0.2824930903027055,0.9980576388510025,0.9968648380543812,0.9976287053292057,0.0470014182134895,0.0470014182134895,0.16565788532020126,0.9,0.09693201136172429,0.5692928383792062,0.02416792663542473,0.8512417452455489,9.990232305719946e-05,12.701022863388062,1.157486915588379
3,1.680749768618326,0.2638517787611749,0.9464858661374778,0.9221867022357837,0.9408242453369237,0.5142438024015806,0.5142438024015806,1.6785439053263267,0.1829399630569748,0.9972557050586489,0.9956457323437664,0.996696475139534,0.09659720089332063,0.09659720089332063,0.19056782396657185,0.9,0.11397902453296845,0.5809201368899432,0.05145087013957303,0.7883224665357829,9.978031724785248e-05,13.671111106872559,1.159684181213379
4,1.555484451753709,0.1858393280605729,0.9139144094907008,0.884310251395619,0.9114614310344873,0.5985814950330139,0.5985814950330139,1.6425765092114368,0.15481491968202848,0.9921279119959896,0.9887317851662487,0.991267360514707,0.030481609059777627,0.030481609059777627,0.05006854221166248,0.9,0.02595666607411425,0.7044771901912568,0.015540565088440862,0.7901330179690479,9.960967771506668e-05,12.979520082473755,1.157731056213379
5,1.3947012161507326,0.16045404454250164,0.8179165713698663,0.7846255489043059,0.8326612016835583,0.6419950645138456,0.6419950645138456,1.6208999122283645,0.14016778548265524,0.9871105124557171,0.98362404689979,0.987243231941567,0.07895172943972648,0.07895172943972648,0.139934332104793,0.9,0.08385779081677365,0.42239223032703876,0.04241514885744811,0.5696539021043371,9.939057285945934e-05,13.031334400177002,1.160050392150879
6,1.2763818382251395,0.1261873507089373,0.7579734342177505,0.7253148227625186,0.7844421057902333,0.7251929577072996,0.7251929577072996,1.5734797237718754,0.10291828723693221,0.9799513545925804,0.9760022444451653,0.9812201651290684,0.10812682461248337,0.10812682461248337,0.19546511942155062,0.9,0.12195830609426761,0.49200950277836336,0.05941212740259238,0.6005222341992231,9.912321891107012e-05,12.77131175994873,1.159195899963379
7,1.2073519673747886,0.10297984910218994,0.7247799677236001,0.6949529178815324,0.7591842995021247,0.748378840632317,0.748378840632317,1.5640891808714668,0.09263385437029648,0.980512255100873,0.9768423411823379,0.9818861446392502,0.07447041623453438,0.07447041623453438,0.11599729222040178,0.9,0.06531414243217643,0.5178229427214169,0.039644698119703774,0.612651882240577,9.880787971596802e-05,12.83980655670166,1.158219337463379
8,1.1437927765258844,0.08131050735311893,0.694681813014641,0.6667590938184572,0.7356009126878252,0.7959971896894458,0.7959971896894458,1.543340672880077,0.07326357540998361,0.9796520886106218,0.9754911783229874,0.9808500314779087,0.09315324711502122,0.09315324711502122,0.14194063504118323,0.9,0.08230439262621751,0.5153635231444383,0.05058382225295375,0.587947797510969,9.844486647586726e-05,13.26487684249878,1.157120704650879
9,1.1058634690438593,0.07088879740083208,0.6750425267504101,0.6480073363910043,0.719864288660978,0.8042334750249016,0.8042334750249016,1.523155947716146,0.06052225343975899,0.9742721839717775,0.9703006205540947,0.9767230258574365,0.08015817505023728,0.08015817505023728,0.11499397904099405,0.9,0.06426539969064397,0.54592835239791,0.04287458920778812,0.6146926772087081,9.80345374410087e-05,12.884489297866821,1.161515235900879
10,1.071601365990651,0.06630558631948981,0.6557205930314101,0.623509410397171,0.6991503740083632,0.81558289926364,0.81558289926364,1.496871713538065,0.043631100243600826,0.9703269244280405,0.9555889002554735,0.9658273821754677,0.08115421574062974,0.08115421574062974,0.11571342839127344,0.9,0.06768222890494988,0.39854109323795744,0.04388681952765451,0.5380529769439681,9.757729755661012e-05,12.973851919174194,1.162491798400879
