epoch,train_loss,train_bce_loss,train_dice_loss,train_tversky_loss,train_focal_tversky_loss,train_dice,val_loss,val_bce_loss,val_dice_loss,val_tversky_loss,val_focal_tversky_loss,val_dice,val_best_dice,val_best_threshold,val_best_precision,val_best_recall,val_precision,val_recall,lr,epoch_time_sec,gpu_memory_gb,early_stop_no_improve_epochs,early_stop_triggered
1,1.834086265329205,0.4187594815701221,0.9456546640457095,0.9202612172510516,0.9393442385946699,0.1792194267201585,1.7678594074657363,0.2718038956530618,0.9975430713335806,0.996072905262724,0.997024881602027,0.014062731950983651,0.04540901079916245,0.975,0.02365820039507213,0.5632280143585293,0.007093301545125706,0.8052819960017136,9.99938933078422e-05,32.64923143386841,6.09182071685791,0,False
2,1.4528425096296798,0.14596817945586701,0.8727160713302713,0.8294188593278455,0.8683165162674708,0.6625327395620899,1.5793612311378673,0.0879528428268076,0.9945230243559641,0.9918466357953032,0.9937707271425369,0.08374457084330313,0.2608762991497314,0.975,0.19888786676363768,0.37900178962000447,0.04501325373893431,0.6000722127447122,9.997557473810371e-05,27.919269323349,1.8701705932617188,0,False
3,1.2033998585748347,0.0837519581247842,0.7410459639750682,0.6922488290838776,0.7572038675462295,0.7674193343158114,1.5628906807861835,0.07535789372096877,0.9918503625342397,0.988770173999547,0.9913648511791903,0.07497833678698856,0.1582081946936399,0.975,0.0998878113029975,0.3801791713323878,0.0401972554190037,0.5564672269256437,9.994504881061753e-05,27.51470375061035,1.8704147338867188,1,False
4,1.0384905055635318,0.06317204778906012,0.6377659422001672,0.5952083284364027,0.6751050351525817,0.8050809603040289,1.5298651997162487,0.05152143932659199,0.9855218489089842,0.9814832578271961,0.9856438331451464,0.07114868582797637,0.21940269869484474,0.975,0.14488370805087933,0.4517587466376847,0.037893726979568096,0.5812079413085257,9.990232305719945e-05,28.12644910812378,1.8691329956054688,2,False
5,0.9263864338448794,0.046207238450997334,0.5694090674956029,0.5345771267743367,0.6215402537040596,0.8553650169791848,1.4922045203328975,0.028976917699618573,0.9748760299114058,0.9701140789654823,0.976703144031092,0.20658526791687398,0.307758777691178,0.975,0.2443513949223334,0.4156052788561001,0.12960233088798068,0.5088225136311976,9.984740801978984e-05,27.770893573760986,1.8682174682617188,0,False
6,0.8705447405983217,0.040430092241576156,0.5339722648224867,0.5028415006114597,0.5922847682926152,0.8671025856531219,1.4888078477999755,0.026479973331616908,0.9745997750367869,0.9685472624401953,0.9754561984197302,0.11995714592761332,0.18861516536996228,0.975,0.11753674352419247,0.4771849588175544,0.06705931264713771,0.568036964552664,9.978031724785246e-05,28.499950885772705,1.8706588745117188,1,False
7,0.7850312083603882,0.039996659480835625,0.4833531481581474,0.42846057418565514,0.5233628050172471,0.867098058735683,1.3871262635637924,0.022245287386584635,0.9173710201605753,0.8730314156055252,0.8950199036614054,0.13750304210269287,0.32683041920878414,0.975,0.26047646428063825,0.43854590742093824,0.07800646085658632,0.5794811147970301,9.97010672950314e-05,27.941391229629517,1.8704147338867188,0,False
8,0.5503542070536662,0.0709387471834682,0.3071094066768453,0.24798507975749448,0.34461210592183816,0.8304475769494647,1.076073105423392,0.02514302119191843,0.7065615639133873,0.6300373706126243,0.6887370382149685,0.15377657951620766,0.2059292558224015,0.975,0.13070249879470713,0.48517545603892936,0.08918050012087754,0.5578277569043978,9.960967771506666e-05,28.164771795272827,1.8698043823242188,1,False
9,0.3903745970254461,0.0560438104860329,0.20600415500736804,0.16842636991949642,0.25665326460636995,0.8672121353893222,1.0778154043869999,0.02934640107396833,0.699034769751989,0.6497294846837036,0.6988684735916737,0.10176156664840624,0.14890614171194724,0.975,0.08597854667579706,0.555410199788304,0.05517776255606623,0.6533631254509877,9.950617105696959e-05,27.856980562210083,1.8704147338867188,2,False
10,0.3596263046281925,0.05895208063004762,0.18196595084789158,0.15227741516256374,0.23741654647738122,0.864742470512786,0.5834090262558582,0.02250531817614717,0.36732538262986525,0.32851078911940984,0.3871566466429965,0.33221011087842267,0.3763764792534357,0.975,0.31851736421904736,0.45992192651020924,0.23689251539264208,0.5558759196656466,9.939057285945931e-05,27.143605709075928,1.8710250854492188,0,False
