epoch,train_loss,train_bce_loss,train_dice_loss,train_tversky_loss,train_focal_tversky_loss,train_dice,train_f1_score,val_loss,val_bce_loss,val_dice_loss,val_tversky_loss,val_focal_tversky_loss,val_dice,val_f1_score,val_best_dice,val_best_threshold,val_best_precision,val_best_recall,val_precision,val_recall,lr,epoch_time_sec,gpu_memory_gb
1,1.8632998324212922,0.42018765936155456,0.9634632231176966,0.9462973565269716,0.9592979046034182,0.12592244274612974,0.12592244274612974,1.7118654754283669,0.2151778704604025,0.9979350601284643,0.996704492694766,0.9975051000547152,0.022806557863443638,0.022806557863443638,0.05804216009103245,0.9,0.03139225309448111,0.3842136660001548,0.011608453669611031,0.6451790143480208,9.997557473810373e-05,17.26050591468811,2.6393637657165527
2,1.5799330456177596,0.1925579762913585,0.926566722867129,0.8972908238874778,0.9216166949638015,0.5011141647518166,0.5011141647518166,1.620460576074075,0.12544954295444646,0.9968612596213099,0.9951248934123345,0.9962995500796358,0.04408683526723413,0.04408683526723413,0.1001946064764569,0.9,0.056956774068736116,0.41597680819645216,0.02288539593180007,0.5991512386052479,9.990232305719946e-05,13.781496047973633,1.049898624420166
3,1.443958080053736,0.12076972919466246,0.8826668810254981,0.8455812516546819,0.8810429382634183,0.6257386465889719,0.6257386465889719,1.5521604493786598,0.05986794652622371,0.9950224428836567,0.9928500077067741,0.9945401137529888,0.12184218484726897,0.12184218484726897,0.1893374250856014,0.85,0.14553163016001464,0.270871053154718,0.07109076773905511,0.42586681458047226,9.978031724785248e-05,13.936296939849854,1.048799991607666
4,1.3259377912487216,0.08714297245028735,0.8233666057807202,0.7824864306337084,0.830856426343487,0.7125254089090597,0.7125254089090597,1.5410074016886428,0.05660495251776224,0.9897069841635687,0.9863264617159201,0.9893909372082874,0.08608594233786233,0.08608594233786233,0.14253016782227373,0.9,0.08313262041031853,0.4992150788581495,0.04641256009516721,0.5928718694725367,9.960967771506668e-05,13.48829174041748,1.046125888824463
5,1.2232903233853956,0.06927789484038759,0.7627848322866111,0.7229492694444364,0.7824551999594346,0.7678919380050421,0.7678919380050421,1.5954551363962044,0.11194466769472415,0.9891663254867414,0.9854026487817594,0.9886882981423971,0.013205730270826794,0.013205730270826794,0.02130731073124717,0.9,0.010871767226487052,0.5310305491305528,0.006674534362154325,0.6149229207435741,9.939057285945934e-05,13.746997833251953,1.048433780670166
6,1.1743981230746754,0.06436561380861563,0.7309267430201821,0.6939841665499046,0.7582115344480886,0.748576760103975,0.748576760103975,1.5156881475924058,0.04020246871877469,0.9836084722828756,0.9791625198061951,0.9837544140451223,0.08416415456475759,0.08416415456475759,0.13238386374998376,0.9,0.0747910122166964,0.5757082605097928,0.04501138288378367,0.6466285020561551,9.912321891107012e-05,13.657407522201538,1.046846866607666
7,1.0904512092509233,0.047561262399180515,0.6823383464913844,0.6500834658780061,0.7211032010240119,0.8292221193594017,0.8292221193594017,1.5015327902715832,0.031018903109855955,0.9797886726417431,0.9762543585967066,0.9814504212891357,0.16250920749402945,0.16250920749402945,0.20737179563233005,0.9,0.13408885861057396,0.45729505708969176,0.09628001130200609,0.5206643572539688,9.880787971596802e-05,13.541974782943726,1.046614170074463
8,1.04874496651021,0.04206730433218086,0.6560671086099955,0.6265760283386819,0.7012211020975568,0.8456734283658355,0.8456734283658355,1.4923325206018059,0.02710786379957328,0.9762695948266369,0.9717869457487353,0.9779101308569851,0.20188354708775463,0.20188354708775463,0.26533953537261307,0.9,0.17715435714057018,0.5283408860187081,0.12203121515188611,0.5840859854943516,9.844486647586726e-05,13.40661072731018,1.047213077545166
9,1.014392850776056,0.035958876971866796,0.6361089602735239,0.607415877860627,0.6846500234861,0.8633832600434792,0.8633832600434792,1.4937464973467933,0.028734885469465166,0.9761450010362284,0.9714198163252031,0.9777332226121678,0.1471832266376722,0.1471832266376722,0.18497959221512134,0.9,0.1187995308155178,0.41763037540139947,0.08732082522655,0.4680589423446808,9.80345374410087e-05,13.452723741531372,1.047457218170166
10,0.9905603766847856,0.03392990000213704,0.6209980160480671,0.5921518260713123,0.6712649199867086,0.8702209332582991,0.8702209332582991,1.4927633499574207,0.02994190543827318,0.974771562185236,0.9692275639535185,0.9760997648253003,0.143021962326034,0.143021962326034,0.17867335917809643,0.9,0.11159006390911795,0.44798065954283683,0.08325520119418996,0.5069439356989948,9.757729755661012e-05,13.142582178115845,1.046968936920166
11,0.9512847400661828,0.034059250922611604,0.5988765683879429,0.5518541245737953,0.6366978423877954,0.8676887506637622,0.8676887506637622,1.1575672221371975,0.02973465914899183,0.7789847820093387,0.6337381462165316,0.697695556224804,0.22295548367679804,0.22295548367679804,0.24534496461412322,0.9,0.17558514840307515,0.4070758024508341,0.14842797403166974,0.44780274408407666,9.707359806323419e-05,13.195356130599976,1.048079013824463
12,0.7430586518159252,0.04152443799930994,0.4597926138815266,0.3848227875439001,0.48348319948113383,0.8257896357978743,0.8257896357978743,1.4704493469453026,0.020852873253431575,0.9675450714782505,0.9536818948384386,0.9641028014168385,0.18029106162758415,0.18029106162758415,0.2268143480087894,0.9,0.14400433707177854,0.5337463762804504,0.10650066267415548,0.5870058921410624,9.652393605146847e-05,13.567151069641113,1.048445224761963
13,0.5807606938397488,0.06640006845637533,0.33203661392259476,0.2659085869839937,0.3646480232566112,0.8082134435916772,0.8082134435916772,1.4690664152312585,0.02390703780847892,0.9643134189979338,0.951114099353589,0.9616919215606068,0.07829404299960681,0.07829404299960681,0.09917092765101444,0.9,0.05895745659365346,0.31193289447503847,0.0432399606083793,0.41356971669557957,9.592885397135708e-05,13.423993349075317,1.048433780670166
14,0.4569062799443979,0.06595926937065187,0.24608702374541241,0.197297139939648,0.28971997725015913,0.8195569932238451,0.8195569932238451,0.9994607933227779,0.022570656721561482,0.6593544615914726,0.5785375639616724,0.6350713560274889,0.17320188883062157,0.17320188883062157,0.18913742543409715,0.9,0.12210518617161249,0.4193467362976738,0.10538845069270127,0.4857876945293687,9.5288939097068e-05,13.374790906906128,1.045759677886963
15,0.360283606167238,0.04821260207522627,0.19212781350173608,0.1538062974467607,0.23988637992538964,0.8518091475933971,0.8518091475933971,0.7795708361606059,0.028820699562265323,0.49892801935364706,0.4353651365502821,0.5036442341197067,0.2545833258515387,0.2545833258515387,0.270431109268363,0.9,0.1983222009206652,0.4249353748257868,0.1729410506285319,0.4822398509693869,9.460482294732424e-05,13.35645842552185,1.048567295074463
